Date,Users
8/24/13,99000
8/25/13,117000
8/26/13,138000
8/27/13,122000
8/28/13,133000
8/29/13,162000
8/30/13,140000
8/31/13,140000
9/1/13,115000
9/2/13,145000
9/3/13,183000
9/4/13,135000
9/5/13,129000
9/6/13,140000
9/7/13,115000
9/8/13,117000
9/9/13,138000
9/10/13,128000
9/11/13,131000
9/12/13,154000
9/13/13,120000
9/14/13,112000
9/15/13,120000
9/16/13,129000
9/17/13,119000
9/18/13,128000
9/19/13,118000
9/20/13,164000
9/21/13,126000
9/22/13,110000
9/23/13,128000
9/24/13,104000
9/25/13,125000
9/26/13,133000
9/27/13,144000
9/28/13,137000
9/29/13,109000
9/30/13,129000
10/1/13,153000
10/2/13,130000
10/3/13,163000
10/4/13,133000
10/5/13,74000
10/6/13,69000
10/7/13,78000
10/8/13,95000
10/9/13,109000
10/10/13,150000
10/11/13,158000
10/12/13,99000
10/13/13,121000
10/14/13,146000
10/15/13,157000
10/16/13,170000
10/17/13,147000
10/18/13,162000
10/19/13,149000
10/20/13,116000
10/21/13,121000
10/22/13,141000
10/23/13,129000
10/24/13,166000
10/25/13,153000
10/26/13,119000
10/27/13,147000
10/28/13,118000
10/29/13,131000
10/30/13,132000
10/31/13,158000
11/1/13,181000
11/2/13,135000
11/3/13,132000
11/4/13,163000
11/5/13,156000
11/6/13,185000
11/7/13,188000
11/8/13,161000
11/9/13,157000
11/10/13,159000
11/11/13,139000
11/12/13,101000
11/13/13,167000
11/14/13,188000
11/15/13,158000
11/16/13,157000
11/17/13,137000
11/18/13,140000
11/19/13,142000
11/20/13,152000
11/21/13,158000
11/22/13,166000
11/23/13,94000
11/24/13,131000
11/25/13,132000
11/26/13,169000
11/27/13,151000
11/28/13,133000
11/29/13,144000
11/30/13,118000
12/1/13,162000
12/2/13,142000
12/3/13,152000
12/4/13,139000
12/5/13,179000
12/6/13,198000
12/7/13,145000
12/8/13,149000
12/9/13,150000
12/10/13,165000
12/11/13,183000
12/12/13,152000
12/13/13,159000
12/14/13,136000
12/15/13,156000
12/16/13,149000
12/17/13,171000
12/18/13,184000
12/19/13,167000
12/20/13,153000
12/21/13,122000
12/22/13,122000
12/23/13,166000
12/24/13,136000
12/25/13,172000
12/26/13,135000
12/27/13,155000
12/28/13,126000
12/29/13,128000
12/30/13,177000
12/31/13,149000
